height_cm,weight_kg,label,cluster
164.3,39.8,-1,0
171.0,73.9,1,0
165.0,43.5,1,0
154.5,71.3,-1,0
170.7,53.5,1,0
159.4,49.0,1,0
174.7,101.5,-1,1
160.8,69.6,-1,0
185.5,108.7,-1,1
162.2,49.9,1,0
166.8,89.8,-1,1
178.1,81.5,1,1
157.7,63.9,1,0
172.3,105.2,-1,1
183.1,60.4,1,1
153.9,75.8,-1,0
171.8,80.7,-1,1
172.6,66.2,1,0
177.8,58.3,1,0
157.6,58.8,1,0
156.8,45.7,1,0
175.2,98.6,-1,1
173.0,80.9,-1,1
172.5,66.8,1,0
173.5,49.3,1,0
163.2,59.2,-1,0
172.3,100.7,-1,1
172.9,72.3,1,1
162.9,67.4,1,0
188.7,119.9,-1,1
174.7,64.2,1,0
158.1,46.6,1,0
176.6,80.8,1,1
160.3,74.5,-1,0
177.9,68.0,1,1
181.6,71.6,1,1
161.8,84.2,-1,0
179.6,77.1,1,1
174.1,53.9,1,0
178.2,78.3,1,1
189.0,113.8,-1,1
167.5,71.2,-1,0
162.5,74.5,-1,0
161.1,48.6,1,0
161.8,75.4,-1,0
169.2,55.2,1,0
173.4,76.2,1,1
172.8,92.8,-1,1
178.3,81.3,1,1
170.1,50.9,1,0
184.5,60.8,1,1
167.4,96.8,-1,1
197.2,85.1,1,1
176.3,96.6,-1,1
161.4,70.9,-1,0
159.3,52.0,1,0
174.8,71.2,1,1
167.8,99.1,-1,1
177.1,145.9,-1,1
174.7,70.5,1,1
169.3,60.7,1,0
161.5,41.7,-1,0
154.9,38.4,1,0
165.5,50.3,1,0
178.6,71.2,1,1
172.1,69.2,1,0
157.5,76.0,-1,0
171.7,73.2,1,1
173.9,88.4,-1,1
161.2,59.3,-1,0
171.5,67.9,1,0
170.6,62.0,1,0
158.6,43.8,1,0
173.6,43.7,1,0
175.6,69.3,1,1
180.8,52.3,1,0
180.5,64.2,1,1
156.2,72.7,-1,0
160.6,67.3,1,0
175.2,77.1,1,1
175.1,103.0,-1,1
175.2,63.3,1,0
200.0,122.4,-1,1
175.7,62.2,1,0
181.4,92.6,-1,1
179.5,78.7,1,1
176.5,86.4,-1,1
166.8,63.1,1,0
177.6,89.6,-1,1
162.3,72.1,-1,0
167.6,50.3,1,0
165.1,82.1,-1,0
170.8,55.7,1,0
193.1,68.0,1,1
151.3,64.0,1,0
176.9,84.7,-1,1
153.9,65.9,-1,0
165.3,77.7,-1,0
180.9,64.4,1,1
170.6,68.0,1,0
159.2,40.6,1,0
162.8,47.7,1,0
176.8,57.7,1,0
162.7,66.4,1,0
172.2,116.0,-1,1
170.5,90.2,-1,1
163.5,46.8,1,0
191.4,53.1,1,1
176.3,58.2,1,0
149.7,35.9,1,0
171.9,73.3,1,1
163.4,70.4,1,0
178.5,55.0,1,0
162.1,66.1,1,0
168.9,79.3,-1,1
175.0,94.1,-1,1
178.7,87.6,-1,1
158.0,63.6,1,0
166.7,73.0,1,0
165.3,51.7,1,0
163.5,58.1,1,0
187.7,54.8,1,1
174.0,103.0,-1,1
157.4,43.8,-1,0
179.2,93.8,-1,1
191.2,64.9,-1,1
180.3,96.3,-1,1
154.8,73.9,1,0
165.2,87.0,-1,1
182.7,57.6,1,1
162.9,65.0,1,0
174.4,60.5,1,0
177.7,57.4,1,0
160.7,65.3,1,0
169.4,90.1,-1,1
145.0,45.1,1,0
159.8,68.8,1,0
167.5,59.1,1,0
157.5,46.5,1,0
186.3,74.8,1,1
155.7,60.4,1,0
165.6,75.4,-1,0
171.3,51.3,-1,0
184.4,134.2,-1,1
155.6,35.1,1,0
181.6,82.0,1,1
170.1,71.7,1,0
160.2,58.0,1,0
174.6,73.0,1,1
172.0,81.4,-1,1
164.0,84.6,-1,0
170.7,73.4,1,0
166.1,74.5,1,0
171.1,49.8,1,0
176.6,79.2,1,1
185.9,89.4,1,1
157.6,36.0,1,0
191.3,87.8,1,1
150.5,57.7,1,0
168.5,88.3,-1,1
175.9,80.4,1,1
172.8,87.7,-1,1
163.8,62.7,1,0
167.9,85.4,-1,1
165.1,77.3,-1,0
164.1,46.2,1,0
178.5,85.6,1,1
173.6,101.2,-1,1
163.1,82.2,1,0
179.0,85.4,1,1
173.1,76.2,1,1
178.1,96.7,-1,1
176.3,61.1,1,0
161.7,76.7,-1,0
164.4,43.2,1,0
177.5,95.0,-1,1
176.1,70.4,1,1
169.8,74.9,1,0
171.2,63.5,1,0
182.8,87.7,1,1
164.1,71.4,1,0
175.5,86.3,-1,1
168.0,92.5,-1,1
167.8,75.5,1,0
181.0,47.5,1,0
178.3,109.1,-1,1
178.1,51.3,-1,0
183.1,75.3,1,1
170.2,68.3,1,0
176.8,83.1,1,1
166.9,52.7,1,0
173.2,46.9,1,0
168.7,66.5,1,0
171.0,59.1,1,0
176.0,107.0,-1,1
161.8,52.9,1,0
190.9,68.6,1,1
159.9,89.6,-1,0
157.9,69.3,-1,0
181.6,136.2,-1,1
177.9,50.6,-1,0
176.2,81.5,1,1
176.3,86.7,-1,1
169.9,68.3,1,0
161.0,63.1,1,0
170.8,94.7,-1,1
163.2,78.1,-1,0
179.8,51.7,1,0
168.5,60.5,1,0
161.7,51.1,1,0
166.8,63.3,1,0
174.1,97.6,-1,1
164.4,61.4,1,0
161.8,57.5,1,0
172.4,56.9,1,0
172.4,92.4,-1,1
164.9,92.2,-1,1
165.3,63.7,1,0
172.3,102.4,-1,1
155.5,52.6,1,0
155.9,40.4,1,0
162.8,79.1,-1,0
167.9,68.8,1,0
173.1,69.0,1,0
184.8,86.9,1,1
178.6,51.0,1,0
168.4,49.6,1,0
169.8,78.0,-1,1
160.0,70.6,-1,0
169.8,96.2,-1,1
167.1,84.7,1,1
173.2,86.5,-1,1
161.7,85.3,-1,0
175.2,81.1,1,1
185.3,78.8,1,1
168.9,91.2,-1,1
174.0,91.6,-1,1
176.9,78.1,1,1
166.0,44.9,1,0
172.2,51.9,1,0
170.1,87.0,-1,1
171.0,85.9,-1,1
162.3,79.6,-1,0
170.2,87.8,-1,1
175.0,64.6,1,0
184.5,54.5,-1,1
179.6,85.8,1,1
191.5,112.6,-1,1
162.3,75.4,-1,0
178.7,51.4,1,0
171.8,73.7,1,1
191.9,72.7,1,1
161.9,41.9,1,0
161.6,61.3,1,0
164.0,73.9,-1,0
148.8,50.7,1,0
164.7,75.0,-1,0
162.4,57.4,1,0
171.5,75.0,1,1
173.4,70.9,1,1
188.8,89.0,1,1
179.5,85.7,1,1
164.2,84.6,-1,0
161.0,69.4,-1,0
174.9,92.5,-1,1
156.8,57.9,1,0
188.3,99.0,-1,1
181.8,98.2,-1,1
165.3,95.0,-1,1
152.9,78.9,-1,0
183.5,88.2,1,1
168.9,86.6,-1,1
182.4,94.1,-1,1
154.1,54.2,1,0
164.0,76.3,-1,0
170.1,57.0,1,0
170.5,86.8,-1,1
165.5,97.3,-1,1
176.2,97.6,-1,1
159.3,77.9,-1,0
168.6,60.3,1,0
171.2,81.7,-1,1
175.1,94.1,-1,1
177.1,77.4,-1,1
158.8,73.3,-1,0
154.7,66.3,-1,0
182.8,102.5,1,1
173.3,56.5,1,0
162.5,86.2,-1,0
185.5,90.2,1,1
171.2,66.8,-1,0
181.8,80.8,1,1
170.7,72.1,1,0
190.6,78.2,1,1
187.6,118.3,-1,1
167.5,82.2,-1,1
179.7,100.7,-1,1
176.5,110.8,-1,1
183.7,88.2,1,1
160.4,37.3,1,0
176.9,94.7,-1,1
180.6,98.0,-1,1
152.4,76.2,-1,0
158.2,78.8,-1,0
149.6,57.8,1,0
167.3,71.8,1,0
177.2,92.7,-1,1
185.0,49.6,1,1
170.7,77.1,1,1
186.3,111.7,-1,1
156.2,59.2,-1,0
153.0,56.6,1,0
169.4,81.2,-1,1
173.8,100.0,-1,1
169.7,84.1,-1,1
149.3,43.3,1,0
169.1,96.7,-1,1
157.0,82.5,-1,0
176.7,67.6,1,1
173.7,126.0,-1,1
160.6,68.3,-1,0
164.9,83.4,-1,0
159.4,74.6,-1,0
169.4,55.4,1,0
179.6,71.9,1,1
160.1,69.0,1,0
175.0,53.6,1,0
164.7,81.2,1,0
162.1,46.0,1,0
168.9,71.6,1,0
159.6,49.6,1,0
164.5,73.0,1,0
158.0,36.2,1,0
189.6,52.2,-1,1
170.4,62.2,1,0
163.0,74.7,-1,0
172.1,78.0,1,1
168.9,85.0,-1,1
167.8,76.4,-1,0
176.1,77.2,1,1
177.6,63.3,1,1
164.7,68.2,1,0
164.2,67.1,1,0
167.2,44.8,1,0
147.0,42.5,1,0
154.8,66.6,-1,0
183.7,88.0,1,1
186.4,86.8,1,1
167.5,59.9,-1,0
175.8,44.8,1,0
173.1,52.4,1,0
200.0,92.6,1,1
181.2,111.4,-1,1
168.7,67.5,1,0
160.4,80.1,-1,0
153.9,46.1,1,0
172.0,74.6,1,1
162.4,50.9,1,0
155.8,49.9,1,0
163.5,78.8,-1,0
159.2,61.5,-1,0
186.9,58.3,1,1
178.8,81.8,1,1
169.9,55.4,1,0
184.8,50.7,1,1
170.8,55.5,1,0
161.4,93.2,-1,1
185.2,115.9,-1,1
175.4,53.8,1,0
159.6,60.8,-1,0
168.1,68.7,1,0
161.2,64.7,1,0
156.2,51.3,1,0
179.3,99.6,1,1
189.1,109.6,-1,1
156.0,72.5,-1,0
175.6,83.2,1,1
163.5,76.6,-1,0
165.1,58.4,1,0
164.1,43.1,1,0
161.4,37.8,1,0
170.5,57.8,1,0
161.7,58.3,1,0
172.7,47.1,1,0
169.5,52.3,1,0
167.6,63.9,1,0
160.9,78.2,-1,0
164.2,72.8,-1,0
177.6,62.5,1,1
175.0,82.0,1,1
160.2,43.7,1,0
171.0,57.9,1,0
177.5,45.7,1,0
153.3,64.8,-1,0
175.4,76.3,1,1
163.4,68.2,1,0
175.7,96.7,-1,1
162.4,54.1,-1,0
152.0,67.7,-1,0
153.7,87.2,-1,0
170.5,51.2,1,0
172.6,47.7,1,0
161.0,45.2,1,0
176.4,85.0,-1,1
153.4,79.9,-1,0
169.3,96.7,-1,1
157.9,78.7,-1,0
163.5,84.9,-1,0
170.5,85.1,-1,1
161.4,76.5,-1,0
166.2,74.0,1,0
180.1,70.4,1,1
164.2,91.1,-1,1
178.4,105.0,-1,1
158.7,47.4,1,0
175.3,93.4,-1,1
184.4,119.9,-1,1
145.3,61.2,1,0
162.0,66.3,1,0
175.8,103.7,-1,1
168.0,79.1,-1,0
173.7,64.1,1,0
164.0,52.7,-1,0
170.9,51.1,1,0
168.4,100.3,-1,1
181.7,61.0,1,1
172.5,91.6,-1,1
173.4,54.0,1,0
165.9,71.5,1,0
165.1,75.5,-1,0
165.7,44.1,1,0
173.9,97.6,-1,1
165.8,69.6,1,0
172.9,84.6,1,1
190.8,122.7,-1,1
178.7,98.8,-1,1
166.7,72.1,1,0
182.0,121.5,-1,1
165.9,68.1,1,0
149.6,57.2,1,0
159.9,57.6,1,0
151.3,40.4,1,0
166.5,47.1,1,0
170.2,58.4,1,0
186.8,60.8,1,1
173.3,70.1,1,1
167.8,84.4,1,1
178.3,71.7,1,1
147.9,57.6,1,0
172.4,69.7,1,0
177.7,127.2,-1,1
155.2,85.6,-1,0
181.4,82.3,1,1
173.4,80.1,1,1
165.8,42.5,1,0
176.3,78.4,1,1
192.7,85.0,-1,1
171.8,87.0,-1,1
172.5,57.8,1,0
165.4,99.7,-1,1
161.5,68.1,1,0
178.3,62.9,1,1
161.4,61.7,1,0
170.7,90.1,-1,1
165.2,80.9,-1,0
174.8,79.2,-1,1
173.3,95.4,-1,1
180.4,102.2,1,1
164.9,81.4,1,0
167.3,61.1,1,0
160.2,63.7,1,0
165.6,65.1,1,0
173.8,66.5,1,0
177.6,76.1,1,1
160.8,68.4,1,0
178.7,111.5,-1,1
183.6,69.0,1,1
174.1,53.3,1,0
188.8,102.9,-1,1
162.3,67.0,1,0
157.6,51.8,1,0
152.2,68.8,-1,0
185.0,79.8,1,1
176.5,106.4,-1,1
169.4,51.1,1,0
172.8,64.2,1,0
158.7,64.9,1,0
194.5,119.7,-1,1
171.3,56.4,-1,0
171.1,79.8,-1,1
177.3,56.6,1,0
174.8,93.2,1,1
172.2,67.0,1,0
162.1,79.4,-1,0
174.7,88.6,-1,1
188.8,62.4,1,1
183.5,88.4,1,1
185.9,75.9,1,1
164.9,76.1,-1,0
160.1,54.5,1,0
168.7,65.5,-1,0
170.6,98.0,-1,1
180.9,108.8,-1,1
153.1,41.1,1,0
185.3,128.0,1,1
168.4,49.6,1,0
165.7,76.3,1,0
159.9,44.2,1,0
153.5,64.1,-1,0
178.2,79.2,-1,1
170.7,50.7,1,0
157.1,47.1,1,0
157.0,53.7,1,0
166.6,70.7,1,0
186.7,107.5,1,1
167.4,107.2,-1,1
155.0,54.0,-1,0
167.5,79.4,-1,0
167.3,89.9,-1,1
145.0,46.9,1,0
169.5,58.3,1,0
167.7,99.0,1,1
177.0,79.6,1,1
188.5,98.8,-1,1
181.3,52.6,1,0
167.3,65.4,1,0
158.9,95.5,-1,0
195.7,106.4,-1,1
170.6,76.6,1,1
170.1,96.6,-1,1
169.8,50.4,1,0
172.0,71.0,1,0
168.6,109.8,-1,1
164.3,70.7,1,0
164.5,62.7,1,0
169.7,96.7,-1,1
164.6,88.0,-1,1
162.9,41.6,1,0
171.1,85.1,-1,1
167.5,99.6,-1,1
185.0,67.3,1,1
145.0,51.0,1,0
180.9,77.5,1,1
182.5,102.1,-1,1
149.3,40.0,1,0
166.6,44.4,1,0
166.3,76.9,-1,0
155.9,77.8,-1,0
162.2,56.9,1,0
158.9,50.1,1,0
187.5,84.4,1,1
179.4,106.4,-1,1
182.7,70.2,1,1
177.2,94.0,-1,1
158.7,45.5,1,0
164.8,49.9,1,0
174.9,92.0,-1,1
157.8,86.6,-1,0
177.1,95.2,-1,1
167.6,44.9,1,0
166.3,58.0,1,0
177.1,82.9,1,1
174.4,81.7,1,1
166.4,44.3,1,0
181.6,61.7,1,1
159.2,47.4,1,0
176.2,81.0,1,1
175.9,54.2,-1,0
166.9,83.9,-1,1
173.3,77.9,1,1
157.5,46.5,1,0
179.2,84.0,1,1
168.2,42.0,1,0
164.8,67.0,1,0
180.5,57.0,1,1
163.0,42.5,1,0
155.9,54.2,1,0
154.4,49.4,1,0
176.1,84.6,-1,1
157.2,65.2,1,0
187.5,132.3,-1,1
149.2,52.1,1,0
187.0,55.9,1,1
172.1,43.0,1,0
169.0,50.9,1,0
164.6,121.8,-1,1
174.0,75.0,1,1
169.6,95.4,-1,1
181.0,101.7,-1,1
171.1,51.0,1,0
171.5,47.1,1,0
166.4,79.9,-1,0
169.4,41.6,1,0
173.1,97.0,-1,1
152.9,60.3,-1,0
156.5,66.6,-1,0
177.4,79.7,1,1
171.7,80.0,-1,1
168.2,68.2,-1,0
170.2,81.6,1,1
173.5,80.6,1,1
164.6,41.3,1,0
162.2,55.6,1,0
172.0,116.9,-1,1
160.2,72.9,-1,0
174.1,101.1,-1,1
153.0,48.2,1,0
180.3,61.7,1,1
174.7,54.3,1,0
172.6,50.6,1,0
179.8,51.7,1,0
186.7,86.7,1,1
180.1,79.1,1,1
151.6,69.5,-1,0
157.2,53.5,1,0
163.8,46.9,1,0
170.3,75.8,1,1
175.2,49.1,1,0
162.7,73.6,-1,0
171.9,64.6,1,0
162.4,69.7,1,0
163.9,43.9,1,0
155.9,72.1,-1,0
160.8,69.1,1,0
156.5,56.2,1,0
160.2,44.9,1,0
180.5,116.9,-1,1
160.5,50.4,1,0
196.3,102.4,1,1
174.9,63.7,1,0
171.8,137.3,-1,1
161.4,71.4,1,0
177.0,71.5,1,1
164.2,81.3,-1,0
171.2,86.5,-1,1
195.6,104.7,-1,1
169.0,65.9,1,0
181.5,91.1,-1,1
163.0,67.9,1,0
169.7,67.2,1,0
187.7,76.8,1,1
163.7,43.5,1,0
188.1,95.1,1,1
177.1,89.8,-1,1
164.4,92.6,-1,1
176.3,83.3,1,1
179.7,81.4,-1,1
176.2,51.4,-1,0
154.3,59.0,1,0
162.7,71.9,1,0
167.5,49.1,1,0
169.3,85.7,-1,1
176.2,64.4,1,0
171.8,74.7,-1,1
156.6,73.8,-1,0
173.8,75.4,1,1
176.1,103.6,-1,1
175.6,93.3,-1,1
180.8,83.7,1,1
178.3,50.9,1,0
174.6,99.0,-1,1
169.3,55.7,1,0
153.4,67.3,-1,0
174.3,84.9,1,1
172.1,70.5,1,0
172.7,91.6,1,1
157.2,69.5,-1,0
159.2,68.3,1,0
180.5,47.3,1,0
169.6,76.9,-1,1
176.8,59.5,1,0
170.3,57.8,1,0
170.3,66.2,-1,0
179.4,108.7,-1,1
164.8,78.0,-1,0
171.0,80.6,-1,1
165.4,85.1,-1,1
165.7,58.3,1,0
166.9,40.4,1,0
172.2,47.5,1,0
165.2,76.1,-1,0
182.6,108.0,-1,1
161.1,82.9,-1,0
168.1,56.6,1,0
165.6,90.9,-1,1
184.5,121.7,-1,1
172.0,84.7,-1,1
180.3,110.3,1,1
155.1,69.2,-1,0
172.7,70.4,1,0
178.9,72.0,1,1
170.8,46.7,-1,0
180.7,72.9,1,1
164.8,64.1,1,0
184.1,85.4,1,1
193.0,96.2,1,1
166.4,48.4,1,0
165.5,85.4,-1,1
184.5,98.3,-1,1
185.8,94.0,-1,1
164.8,48.8,1,0
165.8,74.8,-1,0
167.2,70.3,1,0
156.6,64.6,1,0
160.8,88.7,1,0
160.0,61.2,1,0
162.3,68.7,1,0
169.7,52.7,-1,0
172.3,86.2,-1,1
185.5,95.4,-1,1
160.0,71.2,1,0
179.8,65.3,1,1
167.9,63.1,1,0
169.5,46.0,-1,0
176.7,65.1,1,1
158.8,77.5,-1,0
173.8,82.7,-1,1
171.7,80.9,-1,1
174.9,99.2,-1,1
172.9,84.7,-1,1
194.6,81.5,1,1
163.6,55.7,1,0
164.7,64.0,1,0
163.8,63.8,-1,0
164.4,79.0,-1,0
163.6,73.7,1,0
181.9,71.4,1,1
184.2,74.0,1,1
164.3,78.9,-1,0
161.7,77.3,-1,0
174.7,44.3,1,0
164.5,60.8,1,0
176.3,74.8,1,1
172.0,79.3,1,1
154.8,61.6,1,0
185.5,99.6,-1,1
188.0,78.0,1,1
163.9,54.2,1,0
166.1,86.1,-1,1
172.9,93.8,-1,1
173.3,86.9,-1,1
176.6,93.5,-1,1
190.1,74.7,1,1
168.2,66.4,1,0
162.0,83.3,-1,0
156.2,69.9,-1,0
162.7,67.1,1,0
169.7,67.6,1,0
187.9,115.2,-1,1
164.8,47.5,1,0
172.2,83.8,-1,1
169.8,71.0,1,0
181.9,57.8,1,1
195.3,138.0,-1,1
164.7,43.4,1,0
165.1,66.0,1,0
180.4,86.8,1,1
176.8,59.9,1,0
188.5,100.0,-1,1
175.8,77.8,1,1
166.4,89.8,-1,1
175.9,143.9,-1,1
181.1,88.6,-1,1
178.2,90.9,-1,1
175.1,63.3,1,0
180.7,80.9,1,1
181.7,75.1,1,1
183.8,100.3,-1,1
176.5,46.5,1,0
168.3,52.6,1,0
171.5,89.9,-1,1
182.1,92.0,-1,1
161.8,90.2,1,0
173.7,82.0,1,1
166.1,77.4,-1,0
170.3,71.5,1,0
182.8,79.6,1,1
171.9,95.4,-1,1
170.5,70.1,1,0
156.4,78.5,-1,0
177.5,76.7,-1,1
176.5,55.8,1,0
191.6,58.3,1,1
166.9,71.0,1,0
172.2,86.0,-1,1
172.5,67.0,-1,0
185.8,101.4,-1,1
169.0,73.2,1,0
172.8,81.0,-1,1
176.1,72.1,1,1
171.9,72.7,1,1
165.5,88.0,-1,1
171.9,69.2,1,0
180.7,76.3,1,1
159.7,44.7,1,0
171.3,87.3,-1,1
163.0,54.1,1,0
182.0,72.4,1,1
154.8,48.1,1,0
164.4,67.9,1,0
173.8,113.5,-1,1
185.7,88.3,1,1
169.3,60.6,1,0
164.4,60.2,1,0
188.8,58.4,1,1
155.5,44.1,-1,0
148.0,34.5,1,0
174.4,81.0,1,1
165.0,75.3,-1,0
159.8,61.2,1,0
177.1,80.7,1,1
172.4,65.1,1,0
164.4,48.9,1,0
157.2,44.7,1,0
178.7,56.9,1,0
176.5,84.6,-1,1
169.0,105.9,-1,1
188.5,71.8,1,1
159.3,62.0,1,0
154.7,59.2,1,0
163.1,62.0,1,0
169.5,73.3,-1,0
172.4,59.6,1,0
167.6,58.7,1,0
173.5,67.5,1,0
157.5,70.6,-1,0
184.4,111.2,-1,1
169.2,78.0,-1,1
181.2,77.1,1,1
173.4,94.7,-1,1
174.6,99.0,-1,1
175.7,76.2,1,1
174.5,73.4,1,1
176.4,65.2,1,1
183.3,95.5,-1,1
172.0,79.7,1,1
177.1,56.7,1,0
169.1,82.7,-1,1
184.4,115.4,-1,1
163.2,87.7,-1,0
188.0,72.9,1,1
169.6,64.2,1,0
155.7,91.8,-1,0
171.3,105.3,-1,1
163.2,74.0,-1,0
178.4,46.2,1,0
163.5,57.1,1,0
165.5,50.5,-1,0
151.1,81.9,-1,0
165.5,47.9,1,0
145.8,79.3,-1,0
154.2,61.5,1,0
177.6,56.2,1,0
177.9,93.1,-1,1
174.3,87.4,1,1
160.3,48.6,1,0
169.5,71.4,1,0
170.0,100.4,-1,1
158.4,60.3,1,0
185.0,120.1,-1,1
178.8,65.6,1,1
167.8,40.8,1,0
170.3,73.3,1,0
172.1,52.5,1,0
149.6,61.0,-1,0
167.5,74.5,1,0
163.2,58.4,1,0
160.0,96.7,-1,1
167.2,69.8,1,0
188.0,112.0,1,1
176.4,90.5,1,1
164.3,96.0,1,1
175.7,59.4,1,0
184.0,54.2,1,1
179.2,113.6,-1,1
170.6,82.9,-1,1
163.5,72.9,-1,0
177.0,71.1,1,1
173.9,74.5,1,1
179.0,91.8,-1,1
176.4,55.5,1,0
180.5,90.8,-1,1
164.6,84.5,-1,0
183.2,98.8,-1,1
172.0,77.1,1,1
190.8,96.4,1,1
163.1,87.0,-1,0
187.4,94.8,1,1
172.0,105.1,-1,1
163.5,42.8,1,0
165.2,87.1,-1,1
166.8,56.0,1,0
174.2,79.1,1,1
175.2,106.7,-1,1
164.3,51.2,1,0
169.8,108.6,-1,1
191.4,121.4,-1,1
187.3,105.1,-1,1
174.4,59.0,1,0
170.4,73.8,1,0
171.2,62.6,1,0
176.1,59.3,1,0
159.8,84.4,-1,0
167.4,63.3,1,0
153.3,56.3,1,0
174.0,78.0,1,1
176.5,73.9,1,1
165.2,81.0,-1,0
185.7,73.4,1,1
157.7,77.4,-1,0
155.4,51.7,1,0
172.2,73.7,1,1
180.5,55.9,1,0
186.8,109.7,-1,1
165.4,90.2,-1,1
180.8,95.7,-1,1
169.6,74.9,1,0
168.3,74.4,1,0
178.8,51.2,1,0
176.5,52.6,1,0
154.2,73.8,-1,0
184.8,76.5,1,1
183.8,56.9,1,1
163.7,44.4,1,0
174.0,91.7,-1,1
174.9,92.6,-1,1
172.6,47.7,1,0
164.5,74.2,1,0
163.3,72.9,-1,0
169.7,57.6,1,0
181.7,107.1,-1,1
175.4,70.6,1,1
166.3,44.2,1,0
177.7,80.0,-1,1
145.0,66.7,-1,0
181.5,70.6,-1,1
152.6,43.6,1,0
166.4,83.8,-1,1
158.8,70.7,-1,0
157.1,65.3,1,0
181.6,91.9,-1,1
165.3,61.1,1,0
173.5,64.4,1,0
169.5,84.4,-1,1
174.8,63.2,1,0
170.8,101.2,-1,1
157.2,83.7,-1,0
180.0,53.9,1,0
165.1,92.2,-1,1
154.4,65.4,-1,0
165.7,95.6,1,1
185.0,83.2,1,1
178.5,76.3,-1,1
166.5,64.6,1,0
166.5,48.5,1,0
166.8,85.0,-1,1
190.8,81.0,-1,1
173.8,88.4,-1,1
174.3,101.9,-1,1
180.3,70.0,-1,1
172.4,58.5,1,0
167.4,91.2,-1,1
168.0,66.9,1,0
169.3,98.6,-1,1
169.6,64.3,1,0
177.3,101.0,-1,1
170.5,71.7,1,0
177.3,80.1,1,1
169.2,88.4,-1,1
170.8,81.9,-1,1
150.0,74.1,-1,0
179.2,57.0,1,0
173.5,72.4,1,1
180.0,82.2,1,1
145.0,42.9,1,0
190.9,112.3,-1,1
168.6,62.3,1,0
181.1,67.0,-1,1
159.6,81.9,-1,0
176.1,53.4,1,0
159.5,52.2,1,0
163.8,79.2,-1,0
189.1,118.3,-1,1
168.1,69.1,1,0
172.2,43.0,1,0
178.7,97.7,-1,1
175.0,65.6,1,0
171.5,97.7,-1,1
173.6,64.0,1,0
194.0,125.6,-1,1
169.4,68.9,1,0
172.0,57.3,-1,0
180.5,47.2,1,0
181.1,69.0,1,1
181.9,91.2,-1,1
176.4,79.7,1,1
158.6,68.3,-1,0
186.3,112.7,-1,1
